gu,D_name,pm10,pm25,color,lat,lon
중구,마포구,55,30,"rgb(116,217,0)",37.5498,126.9456
중구,서울C2예비15,51,36,"rgb(116,217,0)",37.558828,126.942408
중구,서울추가199_,68,55,"rgb(116,217,0)",37.537214,126.960392
중구,서울추가72,41,33,"rgb(116,217,0)",37.535076,126.974006
중구,서울명소22,77,54,"rgb(116,217,0)",37.562186,126.946223
중구,왕십리역8번출구,52,28,"rgb(116,217,0)",37.5610,127.0359
중구,서울217,84,46,"rgb(255,189,0)",37.586582,127.027873
중구,성북1치안센터 옆,26,14,"rgb(0,201,250)",37.590161,127.004073
중구,서울_C2예비27,87,56,"rgb(255,189,0)",37.570192,127.015998
중구,서울로7017a,40,32,"rgb(116,217,0)",37.5565,126.9738
중구,서울_명소13,54,35,"rgb(116,217,0)",37.57624,126.955337
중구,서울명소1,36,29,"rgb(116,217,0)",37.55094444,126.990725
중구,광화문역6번출구앞,56,45,"rgb(116,217,0)",37.5699,126.9763
중구,서울_C2예비31,51,41,"rgb(116,217,0)",37.56985278,127.0378833
중구,피자 알보로 앞,65,42,"rgb(116,217,0)",37.568185,126.964686
중구,서울294,32,20,"rgb(116,217,0)",37.566987,126.982366
중구,두산_실외기,58,38,"rgb(116,217,0)",37.5951,126.9901
중구,서울264,87,56,"rgb(255,189,0)",37.570856,126.98744
중구,서울추가189,68,55,"rgb(116,217,0)",37.534046,126.989198
중구,광화문사옥6층,57,37,"rgb(116,217,0)",37.5717222,126.977746
중구,서울164,87,56,"rgb(255,189,0)",37.576002,127.002575
중구,서울67,54,29,"rgb(116,217,0)",37.591538,127.012957
중구,서울_C2예비29,227,147,"rgb(255,0,0)",37.578378,127.015204
중구,옥상,35,21,"rgb(116,217,0)",37.5768,126.9390
중구,서울349,77,50,"rgb(116,217,0)",37.565818,126.972629
중구,서울93,89,57,"rgb(255,189,0)",37.568836,126.976487
중구,광화문사옥9층,42,27,"rgb(116,217,0)",37.571722,126.977794
중구,서울134,192,138,"rgb(255,90,0)",37.528164,127.030625
중구,농협은행앞,90,48,"rgb(255,189,0)",37.54109,126.945371
중구,도로25A,85,69,"rgb(255,189,0)",37.560882,126.982159
중구,딥비전스,42,26,"rgb(116,217,0)",37.5741,126.9419
중구,서울192,60,39,"rgb(116,217,0)",37.572374,127.012881
중구,서울추가5,100,55,"rgb(255,189,0)",37.5848,127.0184
중구,kt광화문4,42,27,"rgb(116,217,0)",37.5717,126.9777
중구,도로25B,81,66,"rgb(255,189,0)",37.558644,126.980951
중구,기존주소 건너편 앞 ,38,20,"rgb(116,217,0)",37.551128,126.955277
중구,서울추가140,113,73,"rgb(255,189,0)",37.60109389,126.979185
중구,중구,39,26,"rgb(116,217,0)",37.5643,126.9747
중구,서울_추가176,74,45,"rgb(116,217,0)",37.581192,126.950708
중구,서울_1072_C2,70,38,"rgb(116,217,0)",37.548281,127.016669
중구,kt광화문5,20,13,"rgb(0,201,250)",37.5717,126.9777
중구,서울220,85,46,"rgb(255,189,0)",37.564079,127.02992
중구,농협은행앞,90,48,"rgb(255,189,0)",37.54109,126.945371
중구,서울_C2예비29,227,147,"rgb(255,0,0)",37.578378,127.015204
중구,두산_실외기,58,38,"rgb(116,217,0)",37.5951,126.9901
중구,서울_명소13,54,35,"rgb(116,217,0)",37.57624,126.955337
중구,서울추가189,68,55,"rgb(116,217,0)",37.534046,126.989198
중구,동의보감 건물 앞,57,46,"rgb(116,217,0)",37.578094,127.036627
중구,서울추가155,34,27,"rgb(116,217,0)",37.55161389,127.0025583
중구,성북1치안센터 옆,26,14,"rgb(0,201,250)",37.590161,127.004073
중구,서울C2예비15,51,36,"rgb(116,217,0)",37.558828,126.942408
중구,서울1049C2,100,55,"rgb(255,189,0)",37.556248,127.043185
중구,일반건물 앞,95,52,"rgb(255,189,0)",37.59402,127.020287
중구,서울명소1,36,29,"rgb(116,217,0)",37.55094444,126.990725
중구,중아 하이츠 단지내,71,39,"rgb(116,217,0)",37.561644,127.048471
중구,서울명소16,74,48,"rgb(116,217,0)",37.58686111,126.9967
중구,강변북로,51,34,"rgb(116,217,0)",37.5387,127.042
중구,서울추가117,76,49,"rgb(116,217,0)",37.574595,126.997353
중구,유해70,100,55,"rgb(255,189,0)",37.55372222,127.0647611
중구,광화문사옥15층,29,18,"rgb(0,201,250)",37.571726,126.977917
중구,서울명소5,85,45,"rgb(255,189,0)",37.550068,126.942143
중구,애완용품점 앞,68,36,"rgb(116,217,0)",37.547015,126.944465
중구,서울288,200,144,"rgb(255,0,0)",37.517267,127.019448
중구,한강대로,47,34,"rgb(116,217,0)",37.5491,126.9704
중구,서울192,75,48,"rgb(116,217,0)",37.572374,127.012881
중구,서울추가5,100,55,"rgb(255,189,0)",37.5848,127.0184
중구,광화문사옥9층,42,27,"rgb(116,217,0)",37.571722,126.977794
중구,서울164,87,56,"rgb(255,189,0)",37.576002,127.002575
중구,피자 알보로 앞,65,42,"rgb(116,217,0)",37.568185,126.964686
중구,서울_C2예비27,87,56,"rgb(255,189,0)",37.570192,127.015998
중구,서울추가199_,68,55,"rgb(116,217,0)",37.537214,126.960392
중구,도로23B,231,187,"rgb(255,0,0)",37.539601,126.989386
중구,서울명소22,77,54,"rgb(116,217,0)",37.562186,126.946223
중구,공중전화,39,21,"rgb(116,217,0)",37.59461,127.035723
중구,서울84,60,39,"rgb(116,217,0)",37.577144,126.986202
중구,용산구,37,30,"rgb(116,217,0)",37.54,127.0048
중구,서울77,97,63,"rgb(255,189,0)",37.575793,126.971161
중구,서울C2예비22,80,65,"rgb(255,189,0)",37.561035,126.975477
중구,광화문사옥4층,63,40,"rgb(116,217,0)",37.571725,126.977862
중구,서울1039,87,56,"rgb(255,189,0)",37.571878,126.982805
중구,IBK 청량리점 앞,40,32,"rgb(116,217,0)",37.580488,127.044863
중구,서울120,217,156,"rgb(255,0,0)",37.528693,127.036776
중구,종로,39,26,"rgb(116,217,0)",37.5709,126.9965
중구,서울추가117,76,49,"rgb(116,217,0)",37.574595,126.997353
중구,서울C2예비28,107,69,"rgb(255,189,0)",37.573773,127.01873
중구,서울286,100,54,"rgb(255,189,0)",37.546889,126.960973
중구,서울추가189,68,55,"rgb(116,217,0)",37.534046,126.989198
중구,왕십리역8번출구,52,28,"rgb(116,217,0)",37.5610,127.0359
중구,서울_C2예비31,51,41,"rgb(116,217,0)",37.56985278,127.0378833
중구,서울67,54,29,"rgb(116,217,0)",37.591538,127.012957
중구,서울_C2예비29,227,147,"rgb(255,0,0)",37.578378,127.015204
중구,중구,39,26,"rgb(116,217,0)",37.5643,126.9747
중구,서울349,77,50,"rgb(116,217,0)",37.565818,126.972629
중구,서울C2예비22,80,65,"rgb(255,189,0)",37.561035,126.975477
중구,kt광화문1,37,24,"rgb(116,217,0)",37.5717,126.9777
중구,서울명소4,57,37,"rgb(116,217,0)",37.58116944,126.9853028
중구,공중전화,39,21,"rgb(116,217,0)",37.59461,127.035723
중구,서울159,70,45,"rgb(116,217,0)",37.57131944,127.0049194
중구,강변북로,51,34,"rgb(116,217,0)",37.5387,127.042
중구,서울1041_C2,18,14,"rgb(0,201,250)",37.54253889,127.0024944
