name,lat,lon,val,clr
화곡제6동1,37.5513,126.8494,108,"rgb(255,189,0)"
신길제5동1,37.5002,126.910568,108,"rgb(255,189,0)"
방화제1동1,37.572704,126.80602,91,"rgb(255,189,0)"
등촌제1동1,37.5518,126.8622,89,"rgb(255,189,0)"
여의동1,37.526963,126.932291,79,"rgb(116,217,0)"
방화제2동2,37.5615,126.8085,85,"rgb(255,189,0)"
가양제1동2,37.5649,126.8402,89,"rgb(255,189,0)"
우이동1,37.6546,127.0130,95,"rgb(255,189,0)"
한강로동1,37.5286,126.9825,-999,"rgb(0,201,250)"
삼성1동4,37.5061,127.0550,102,"rgb(255,189,0)"
신내1동1,37.6055,127.1085,30,"rgb(116,217,0)"
종암동2,37.5909,127.0346,65,"rgb(116,217,0)"
도봉제2동1,37.6697,127.0434,95,"rgb(255,189,0)"
청담동1,37.5189,127.0498,68,"rgb(116,217,0)"
휘경제2동1,37.58433333,127.0683611,83,"rgb(255,189,0)"
불광제2동1,37.625336,126.928648,71,"rgb(116,217,0)"
도봉제1동1,37.6837,127.0459,95,"rgb(255,189,0)"
전농제1동1,37.57337222,127.0518194,81,"rgb(255,189,0)"
이태원제2동1,37.5397,126.9896,85,"rgb(255,189,0)"
창제2동1,37.640561,127.039736,95,"rgb(255,189,0)"
원효로제1동1,37.5351,126.9740,57,"rgb(116,217,0)"
무악동1,37.5762,126.9556,51,"rgb(116,217,0)"
종로1.2.3.4가동1,37.5707,126.9875,98,"rgb(255,189,0)"
을지로동1,37.563793,126.993071,-999,"rgb(0,201,250)"
교남동2,37.5658,126.9725,58,"rgb(116,217,0)"
상계3.4동2,37.6703,127.0808,93,"rgb(255,189,0)"
창신제2동1,37.5724,127.0133,69,"rgb(116,217,0)"
미아동2,37.620436,127.028721,106,"rgb(255,189,0)"
홍제제2동1,37.5812,126.9508,98,"rgb(255,189,0)"
수유제1동2,37.6306,127.0234,86,"rgb(255,189,0)"
남가좌제2동1,37.581784,126.92692,98,"rgb(255,189,0)"
창제1동1,37.6455,127.0484,95,"rgb(255,189,0)"
한강로동2,37.5213,126.968154,96,"rgb(255,189,0)"
답십리제1동1,37.567156,127.052627,-999,"rgb(0,201,250)"
진관동1,37.63461667,126.9166053,75,"rgb(116,217,0)"
남가좌제2동2,37.576023,126.926095,98,"rgb(255,189,0)"
